SHOW,LOCATION,VENUE,DATES,TICKETS
& Juliet,"Fort Lauderdale, FL",Broward Center For The Perf. Arts,Jan 13 - Jan 25,https://www.ticketmaster.com/aurene-theater-at-the-broward-center-tickets-ft-lauderdale/venue/106543
& Juliet,"Naples, FL",Hayes Hall,Jan 27 - Feb 1,https://artisnaples.org/events/
& Juliet,"Fort Myers, FL",Barbara B. Mann Performing Arts Hall,Feb 3 - Feb 8,https://www.bbmannpah.com/events
& Juliet,"Tampa, FL",Straz Center for the Performing Arts,Feb 10 - Feb 15,https://www.strazcenter.org/tickets-events/upcoming-broadway/
& Juliet,"North Charleston, SC",North Charleston Coliseum & PAC,Feb 17 - Feb 22,https://www.ticketmaster.com/north-charleston-performing-arts-center-tickets-north-charleston/venue/369120
& Juliet,"Huntsville, AL",Von Braun Center,Feb 24 - Mar 1,https://www.vonbrauncenter.com/events-tickets/upcoming-events/
& Juliet,"Omaha, NE",Orpheum Theater,Mar 3 - Mar 8,http://www.ticketomaha.com/
& Juliet,"Grand Rapids, MI",DeVos Hall,Mar 10 - Mar 15,http://www.ticketmaster.com/venue/65699/
& Juliet,"Ottawa, ON",National Arts Centre: Southam Hall,Mar 24 - Mar 29,https://www.ticketmaster.ca/venue/401547
& Juliet,"Detroit, MI",Fisher Theatre,Mar 31 - Apr 12,https://www.ticketmaster.com/venue/65546
& Juliet,"Hershey, PA",Hershey Theatre,Apr 14 - Apr 19,
& Juliet,"Syracuse, NY",Landmark Theatre,Apr 21 - Apr 26,http://www.ticketmaster.com/venue/168
& Juliet,"Schenectady, NY",Proctors,Apr 28 - May 3,http://tickets.proctors.org/
& Juliet,"Hartford, CT",Bushnell,May 5 - May 10,https://bushnell.org/shows-concerts
& Juliet,"Richmond, VA",Altria Theater,May 12 - May 17,http://www.altriatheater.com/events
& Juliet,"Birmingham, AL",Birmingham-Jefferson Concert Hall,May 19 - May 24,http://www.magicspace.net/birmingham/#.UcykAeusZNE
& Juliet,"Fayetteville, AR",Walton Arts Center,May 26 - May 31,https://waltonartscenter.org/tickets/calendar/
& Juliet,"Appleton, WI",Fox Cities Performing Arts Center,Jun 2 - Jun 7,https://foxcitiespac.com/events/category/broadway-series/
& Juliet,"Milwaukee, WI",Uihlein Hall at Marcus Performing Arts Center,Jun 9 - Jun 14,https://www.ticketmaster.com/uihlein-hall-marcus-center-tickets-milwaukee/venue/57493
& Juliet,"Indianapolis, IN",Clowes Memorial Hall,Jun 16 - Jun 21,http://www.ticketmaster.com/venue/41111/?search_redirect=clowes%20memorial%20hall&tm_link=tm_header_search
& Juliet,"East Lansing, MI",Wharton Center for the Performing Arts,Jun 23 - Jun 28,https://www.whartoncenter.com/events
& Juliet,"San Antonio, TX",Majestic Theatre,Jul 7 - Jul 12,https://www.majesticempire.com/events/
& Juliet,"Austin, TX",Bass Concert Hall @ U of TX at Austin,Jul 14 - Jul 19,https://austin.broadway.com/shows/
& Juliet,"Chicago, IL",Auditorium Theatre of Roosevelt Univ.,Jul 22 - Aug 2,http://www.ticketmaster.com/venue/57351
